InvoiceNo,Description,OrderValue,Quantity,CustomerID,Country
INV1000,Smartwatch,1318.21,9,1225,Canada
INV1001,Tablet,179.38,4,1778,USA
INV1002,Smartwatch,1174.48,4,1383,South Africa
INV1003,Mouse,570.48,4,1092,USA
INV1004,Laptop,1738.85,5,1437,France
INV1005,Keyboard,593.09,8,1798,UK
INV1006,Camera,1766.47,7,1999,France
INV1007,Monitor,707.65,9,1017,India
INV1008,Camera,1105.77,10,1735,Germany
INV1009,Camera,1989.29,1,1841,South Africa
INV1010,Smartphone,92.5,10,1759,Germany
INV1011,Tablet,510.88,8,1146,France
INV1012,Smartphone,65.06,4,1100,Brazil
INV1013,Camera,1348.42,2,1813,France
INV1014,Mouse,183.98,9,1067,Brazil
INV1015,Laptop,669.86,5,1064,Canada
INV1016,Tablet,1456.85,3,1760,UK
INV1017,Tablet,448.3,3,1342,USA
INV1018,Monitor,1436.37,6,1567,South Africa
INV1019,Mouse,1944.26,7,1743,South Africa
INV1020,Keyboard,1778.62,6,1929,Germany
INV1021,Monitor,650.42,3,1787,Brazil
INV1022,Mouse,868.46,4,1696,Brazil
INV1023,Keyboard,439.16,6,1725,UK
INV1024,Smartphone,817.07,7,1688,UK
INV1025,Smartwatch,1916.3,5,1346,Germany
INV1026,Mouse,320.83,2,1369,Australia
INV1027,Smartwatch,164.1,5,1247,USA
INV1028,Camera,640.45,7,1991,UK
INV1029,Mouse,461.28,1,1332,Germany
INV1030,Laptop,156.37,9,1192,Germany
INV1031,Tablet,1480.62,7,1205,UK
INV1032,Camera,1114.39,6,1072,Germany
INV1033,Laptop,1756.96,4,1290,UK
INV1034,Camera,1649.81,8,1506,Germany
INV1035,Smartwatch,385.34,2,1202,Brazil
INV1036,Headphones,1104.9,9,1742,South Africa
INV1037,Smartwatch,1621.38,1,1066,Australia
INV1038,Mouse,1347.07,3,1714,Canada
INV1039,Monitor,150.26,6,1904,Australia
INV1040,Headphones,546.42,3,1177,Australia
INV1041,Mouse,249.46,6,1842,China
INV1042,Smartwatch,1772.55,3,1496,UK
INV1043,Smartphone,1677.02,6,1233,France
INV1044,Mouse,1049.66,6,1478,UK
INV1045,Laptop,1922.33,10,1598,Brazil
INV1046,Monitor,1915.29,3,1281,UK
INV1047,Mouse,843.76,5,1093,Germany
INV1048,Keyboard,352.14,8,1865,UK
INV1049,Keyboard,759.06,1,1369,Brazil
INV1050,Printer,1641.87,4,1886,UK
INV1051,Monitor,584.14,8,1872,Brazil
INV1052,Smartwatch,261.02,1,1751,France
INV1053,Laptop,1841.65,4,1681,France
INV1054,Camera,1434.99,7,1879,France
INV1055,Monitor,1063.94,4,1076,France
INV1056,Printer,615.21,10,1511,UK
INV1057,Keyboard,1410.1,9,1409,India
INV1058,Mouse,1414.4,3,1279,France
INV1059,Laptop,698.96,7,1809,India
INV1060,Smartphone,745.55,2,1419,UK
INV1061,Camera,1684.93,1,1774,India
INV1062,Headphones,244.22,7,1407,Brazil
INV1063,Tablet,1612.28,4,1965,India
INV1064,Keyboard,757.33,4,1888,France
INV1065,Camera,1015.76,10,1700,Germany
INV1066,Smartwatch,1402.0,10,1335,South Africa
INV1067,Camera,279.19,4,1839,China
INV1068,Monitor,345.13,5,1906,France
INV1069,Mouse,1270.03,2,1855,USA
INV1070,Camera,219.17,7,1804,India
INV1071,Tablet,835.24,5,1937,China
INV1072,Printer,1930.15,7,1456,South Africa
INV1073,Headphones,820.09,10,1416,India
INV1074,Laptop,1997.91,4,1135,Canada
INV1075,Mouse,391.77,4,1207,France
INV1076,Printer,1203.58,10,1373,UK
INV1077,Smartphone,1828.15,1,1529,South Africa
INV1078,Laptop,237.36,5,1597,UK
INV1079,Laptop,1525.4,3,1431,Canada
INV1080,Headphones,989.32,5,1146,Germany
